onset	duration	trial_type
0	4	Discard
4	6	Static
10	12	NonAdapt
22	6	InCoh_aNA
28	3	MAE
31	3	Report
34	6	Static
40	12	Coherent
52	6	Coh_aCoh
58	3	MAE
61	3	Report
64	6	Static
70	12	NonAdapt
82	6	Coh_aNA
88	3	MAE
91	3	Report
94	6	Static
100	12	Coherent
112	6	InCoh_aCoh
118	3	MAE
121	3	Report
124	6	Static
130	12	Incoherent
142	6	InCoh_aInCoh
148	3	MAE
151	3	Report
154	6	Static
160	12	Incoherent
172	6	Coh_aInCoh
178	3	MAE
181	3	Report
184	6	Static
190	12	NonAdapt
202	6	InCoh_aNA
208	3	MAE
211	3	Report
214	6	Static
220	12	Coherent
232	6	Coh_aCoh
238	3	MAE
241	3	Report
244	6	Static
250	12	NonAdapt
262	6	Coh_aNA
268	3	MAE
271	3	Report
274	6	Static
280	12	Coherent
292	6	InCoh_aCoh
298	3	MAE
301	3	Report
304	6	Static
310	12	Incoherent
322	6	InCoh_aInCoh
328	3	MAE
331	3	Report
334	6	Static
340	12	Incoherent
352	6	Coh_aInCoh
358	3	MAE
361	3	Report
364	6	Static
370	4	Discard
